half_life_decay,ts_lookback,sentiment_ma_window,beta_lookback,oi_level_lookback,regime_filter_threshold,regime_window,final_equity,return_pct,sharpe,turnover
12,80,40,60,30,0.6000000000000001,5,231945.376598862,131.945376598862,1.888673660480619,0.13881453211125214
12,80,40,60,30,0.8,5,237929.65147771602,137.92965147771602,1.7844232128708108,0.13175750611089213
12,80,40,60,30,0.4,5,201761.6940514459,101.7616940514459,1.6642911597930057,0.14612879529184536
12,80,40,60,30,0.2,5,200430.00258874978,100.43000258874977,1.661477317675931,0.15180961921492245
12,80,40,60,30,1.0,5,236138.14257433807,136.13814257433808,1.634361397646352,0.127283005682575
12,80,40,60,30,0.6000000000000001,10,128583.39306010143,28.583393060101425,0.7903299544089794,0.14005531226982007
12,80,40,60,30,0.4,10,124650.0329702838,24.65003297028381,0.6960224024835214,0.14703383696987002
12,80,40,60,30,0.2,10,121321.7745498081,21.321774549808104,0.6224162356627524,0.15261250611099086
12,80,40,60,30,0.8,10,120728.61496559526,20.72861496559526,0.5949322872186747,0.1314549409889623
12,80,40,60,30,1.0,10,110357.14725010996,10.357147250109966,0.34234159028137456,0.1254026916105691
12,80,40,60,30,0.2,15,94890.5412458909,-5.1094587541091085,-0.03327832129709117,0.15540345433701344
12,80,40,60,30,0.4,15,90973.65583644582,-9.026344163554178,-0.14291070806020104,0.1496439248820255
12,80,40,60,30,0.6000000000000001,15,86197.58079978169,-13.802419200218308,-0.2701498247852325,0.14184365427964082
12,80,40,60,30,0.2,20,81214.32618949581,-18.78567381050419,-0.42313772150156753,0.1566150231554919
12,80,40,60,30,0.8,15,76386.51143457742,-23.61348856542258,-0.5561962537368654,0.13107330539337764
12,80,40,60,30,0.6000000000000001,20,76363.76248743598,-23.63623751256403,-0.571880091229145,0.14277861949356963
12,80,40,60,30,0.4,20,76125.90418632525,-23.874095813674757,-0.5765083745528882,0.15098149697393318
12,80,40,60,30,1.0,15,68348.60408204552,-31.651395917954485,-0.7697132711978171,0.12467886437583367
12,80,40,60,30,0.8,20,64389.88951080111,-35.61011048919889,-0.9718274051094077,0.13112917621214534
12,80,40,60,30,1.0,25,63499.64610852103,-36.500353891478966,-1.0126873811325419,0.12550601994161584
12,80,40,60,30,0.4,25,64123.38565911763,-35.87661434088238,-1.0341401264178531,0.148898403604078
12,80,40,60,30,0.2,25,62967.704601270016,-37.032295398729985,-1.0833806566389743,0.15526932075808988
12,80,40,60,30,0.6000000000000001,25,61240.43979814221,-38.75956020185779,-1.1319859257458453,0.14252166411235234
12,80,40,60,30,0.8,25,56623.70772906103,-43.37629227093897,-1.245088675627381,0.1331207433587484
12,80,40,60,30,1.0,20,40431.93699087844,-59.568063009121566,-1.3686382041805532,0.12560181830947745
